ACHADO,TIPO_ACHADO
Sub-rogação/subcontratação irregular de contrato - Subcontração não autorizada pela Administração ou não prevista em edital/contrato.,Subcontratação ou subrrogação irregular
Não utilização da Lei das estatais ,Irregularidades na condução do procedimento licitatório
Superfaturamento - Superfaturamento decorrente de BDI excessivo.,Superfaturamento
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Risco à saúde da população, pois todos os serviços executados não têm funcionalidade, com o esgoto sendo lançado, sem tratamento, nas baixadas dos bairros de Califórnia e Nova Califórnia, em Itabuna, em desacordo com o memorial descritivo/especificações do projeto.",Fiscalização contratual inexistente ou deficiente
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Existência de preços inexeqüíveis (simbólicos, irrisórios ou de valor zero) no orçamento do Edital / Contrato / Aditivo.",Metodologia inadequada para definição do orçamento do objeto
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Deficiência na elaboração dos laudos de avaliação,Processo de desapropriação inexistente ou deficiente
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Sobrepreço decorrente de quantitativo inadequado e preços manifestamente superiores à média praticada pelo mercado ou incompatíveis com os fixados pelos órgãos oficiais competentes.,Sobrepreço
Ausência de  informações no Siconv.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
Ausência de formalização do contrato (contrato verbal).,"Ausência de formalização, publicidade e/ou transparência do contrato"
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Conflito de interesses nos convênios firmados entre a CBH e o CPB,Irregularidades na formalização do convênio
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Inexistência ou deficiência da fiscalização da execução dos objetos contratados com o Senar/AM (possível achado A9).,Fiscalização contratual inexistente ou deficiente
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Ausência do recebimento definitivo dos serviços,Outras irregularidades na execução do contrato
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Dano ao erário decorrente de pagamentos sem comprovação documental,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Aditivo contratual com acréscimos inadequados no valor da administração local,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Liberação ao tráfego de trechos restaurados sem definição dos serviços de sinalização definitiva, dispositivos de segurança viária e passarelas.",Outras irregularidades na execução do contrato
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
"Não operacionalização do contrato emergencial destinado a manutenção e operação da Eclusa de sobradinho, dentro do prazo de 180 dias previsto no art. 24, inciso IV, in fine, da Lei 8666/1993.",Contratação direta indevida ou não justificada
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Inconsistência nos resultados dos ensaios da Supervisora ,Fiscalização contratual inexistente ou deficiente
"Alteração de quantitatitativos de objeto/prorrogação de prazo não justificada, insuficientemente justificada ou cujos motivos alegados/memórias de cálculo apresentam inconsistências técnicas, erros ou omissões.","Aditivos irregulares, injustificados ou não celebrados"
Previsão no edital/contrato de critério de medição incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
