ACHADO,TIPO_ACHADO
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Adoção de inadequada modalidade de licitação, em sede de aquisição de medicamentos em Casa Nova/BA.","Adoção de tipo, regime ou modalidade de licitação indevidos"
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
"Superfaturamento - Superfaturamento decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Superfaturamento
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
"Execução de serviços em desconformidade com as especificações, projetos e o contrato.",Outras irregularidades na execução do contrato
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
"Fracionamento irregular do objeto, resultando em fuga ao procedimento licitatório.",Contratação direta indevida ou não justificada
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de ART do projeto básico.,Ausência de ART do projeto
Transferência ilegítima de recursos da Chesf para a SPE ETN,Gestão temerária
Critério de medição inadequado ou incompatível com objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos que comprometeram o prazo de entrega do empreendimento,Outras irregularidades na execução do contrato
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Utilização de critério de medição para a administração local incompatível com a jurisprudência vigente,Cláusulas essenciais imprecisas ou ausentes
Utilização indevida de carreta agrícola para retirada de lixo na zona urbana,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação.,Restrição à competitividade do certame
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
"Retenção/pagamento de tributos (contribuição previdenciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Falhas verificadas no Contrato UT-21-00871/2016-00 e em seu 1º Termo Aditivo com potencial prejuízo ao erário.,Outras irregularidades na execução do contrato
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essencais à integridade da obra.",Outras irregularidades na execução do contrato
Cronograma de desembolso (físico-financeiro) incompatível com a execução física dos serviços.,Descumprimento do cronograma físico-financeiro do objeto
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Impropriedades na execução do convênio,Irregularidades na execução do convênio
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
O aditivo ao convênio não foi devidamente justificado.,Irregularidades na formalização do convênio
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Excesso injustificado de despesas na execução de uma das metas do convênio pela entidade convenente.,Irregularidades na execução do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"A8.4  contratação de veículo inadequado, segundo as normas do programa (tipo e ano).",Fiscalização contratual inexistente ou deficiente
Orçamento em desconformidade com as disposições da Lei de Diretrizes Orçamentárias,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço - Sobrepreço decorrente de jogo de planilha.,Sobrepreço
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Dano ao erário na execução do Contrato DIPRE/39.2016,Outras irregularidades na execução do contrato
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Perda financeira em razão do desenho do fluxo financeiro utilizado para remunerar as organizações sociais,Liquidação e/ou pagamento irregular da despesa
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Falhas nos procedimentos de dispensa de licitação ,Irregularidades na condução do procedimento licitatório
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Antecipação irregular de pagamento,Liquidação e/ou pagamento irregular da despesa
Obstrução ao livre exercício da fiscalização pelo TCU,Outras irregularidades na execução do contrato
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Deficiência no registro de informações sobre contratos no Sistema Integrado de Administração de Serviços Gerais (Siasg).,"Ausência de formalização, publicidade e/ou transparência do contrato"
As cláusulas presentes no contrato assinado não estão de acordo com aquelas que foram apresentadas na minuta de contrato presente no edital de licitação.,Divergência entre o contrato e o ato convocatório
Alíquota o do imposto sobre serviços (ISS) no BDI em desacordo com o percentual aplicável,Liquidação e/ou pagamento irregular da despesa
"Inadequação no recebimento, estocagem ou guarda de equipamentos e materiais.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Deficiências na governança do processo da contratação e execução das obras e serviços de energia temporária para os Jogos,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Projeto básico subdimensionado,"Projeto inexistente, deficiente ou desatualizado"
Celebração de contrato com consórcio liderado por empresa estrangeira.,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Metodologia utilizada para definição do orçamento e preço de referência deficiente e/ou inadequada.,Metodologia inadequada para definição do orçamento do objeto
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Demais falhas na execução do convênio,Irregularidades na execução do convênio
Superfaturamento por pagamento indevido de despesas relativas a atraso na execução da obra.,Superfaturamento
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
A descrição do objeto no termo do convênio não coincide com a descrição do objeto da licitação.,Irregularidades na execução do convênio
Pagamento da meta qualitativa de 40% do valor pré-fixado independente do quantitativo realizado para cada procedimento:,Cláusulas essenciais imprecisas ou ausentes
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Implantação do empreendimento sem obtenção de todas as licenças e autorizações emitidas pelos órgãos competentes.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
Critérios de medição inadequados.,Irregularidades na elaboração do ato convocatório
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Intempestividade da União em definir a forma de cumprir com os compromissos assumidos perante o Comitê Rio 2016 relacionados ao fornecimento temporário de energia elétrica,Atraso ou paralisação da obra por ação ou omissão do gestor
Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
BELMONTE - A.19  Irregularidades na execução orçamentário-financeira dos recursos aplicados no transporte escolar.,Gestão temerária
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Irregularidades na execução do programa de transporte escolar.,Outras irregularidades na execução do contrato
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
1.4	Pagamento indevido à contratada de 31 milhões de reais decorrente da ausência de descontos previstos em cláusula contratual.,Liquidação e/ou pagamento irregular da despesa
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Superfaturamento decorrente de inclusão inadequada de novos serviços.,Superfaturamento
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Atrasos na execução do objeto.,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico/executivo deficiente ou inexistente - Item computado em duplicidade na planilha de custos diretos e no BDI.,Sobrepreço
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
"Sobrepreço decorrente de ausência de BDI diferenciado, de aumento indevido de preços contratuais e de preços diferentes para mesmos serviços.",Sobrepreço
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Contratações diretas (por dispensa de licitação ou inexigibilidade) não justificadas ou indevidamente fundamentadas.,Contratação direta indevida ou não justificada
Restrição ao caráter competitivo da licitação - Inexistência de publicação do aviso de edital ou publicação do aviso do edital sem respeitar o prazo mínimo previsto na Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
"Superfaturamento - Superfaturamento decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Superfaturamento
055/2015 - Estimativa inadequada de preços,Irregularidades na elaboração do ato convocatório
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
"Achado A.23. Contrato C1/10/001: Fornecimento de bens ou prestação de serviços sem cobertura contratual, com realização de pagamentos. ACHADO CONSIDERADO INSUBSISTENTE EM VISTA DOS COMENTÁRIOS DO GESTOR.","Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto básico/executivo deficiente ou inexistente - Orçamento do Edital / Contrato / Aditivo Incompleto ou Inadequado.,Falha na composição dos custos expressos na planilha orçamentária
 Falta de Definições e/ou Previsão Inadequada para a Execução e elaboração dos Projetos de Reassentamento na Fase Preparatória no Processo Licitatório - RDC  ,Cláusulas essenciais imprecisas ou ausentes
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Possibilidade de duplo ressarcimento de valores,Atraso ou paralisação da obra por ação ou omissão do gestor
Acompanhamento e Fiscalização deficiente da execução do termo de compromisso.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Cláusulas do edital/contrato em desconformidade com os preceitos da LDO.,Irregularidades na elaboração do ato convocatório
"Perda potencial ou efetiva de serviços realizados, em face da não execução  de serviços essenciais à integridade da obra.",Atraso ou paralisação da obra por ação ou omissão do gestor
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Utilização indiscriminada de cheques administrativos.,Gestão temerária
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Redução do objeto pactuado sem a correspondente adequação financeira.,Irregularidades na formalização do convênio
Aportes financeiros feitos pelo FNDE com valores ou periodicidades irregulares a tal ponto de comprometer a conclusão dos empreendimentos.,Irregularidades na execução do convênio
"Obra paralisada com 6,21% de execução",Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Desabastecimento dos estoques de medicamentos da Cema.,Outras irregularidades na execução do contrato
Não publicação do extrato do contrato na imprensa oficial.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
"Utilização irregular de recursos da Lei Agnelo/Piva no pagamento de despesas de viagens internacionais, relacionadas ao Presidente do CPB e familiares.",Outras irregularidades na execução do contrato
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
